*vpn_servers
#HostName,IP,Score,Ping,Speed,CountryLong,CountryShort,NumVpnSessions,Uptime,TotalUsers,TotalTraffic,LogType,Operator,Message,OpenVPN_ConfigData_Base64
vpn123852550,121.159.139.231,1283041,36,34977614,Korea Republic of,KR,45,569547287,8571,1179398180166,2weeks,DESKTOP-DD9V98A's owner,,
i-homesv,118.156.88.29,1077755,82,33434366,Japan,JP,215,539118287,73226,1977904882111,2weeks,SERVER04-PC's owner,,
shooran,121.168.45.38,935514,32,9307651,Korea Republic of,KR,0,510109287,0,0,2weeks,ShooRan,,
vpn645914369,110.67.138.207,837519,9,244069361,Japan,JP,28,173790287,49381,5292411385422,2weeks,ryo's owner,,
vpn412977282,116.91.78.65,759562,6,89397044,Japan,JP,40,110659287,510976,81068756354807,2weeks,ALTEZZABL-PC's owner,,
vpn453611406,211.178.229.46,717475,32,83075547,Korea Republic of,KR,33,141340287,486709,55054139096066,2weeks,DESKTOP-OOETCDL's owner,,
vpn420050631,61.62.187.58,641789,6,90794787,Taiwan,TW,0,37389287,38605,1153300718494,2weeks,mazaku-pc's owner,,
vpn345761892,122.20.180.51,630235,13,80421083,Japan,JP,28,18820287,44753,2456762661947,2weeks,owner-PC's owner,,
vpn267304765,182.231.181.119,629095,48,57534233,Korea Republic of,KR,4,119791287,386,72534477516,2weeks,HSKIM-DESKTOP's owner,,
vpn922260719,50.92.44.9,625731,65,9314704,Canada,CA,25,308507287,1497,51244074779,2weeks,c-PC's owner,,
vpn238570028,118.154.44.71,624599,2,438644312,Japan,JP,17,18820287,25848,2279820974265,2weeks,VAIO-keikou's owner,,
vpn293473149,180.92.36.160,622940,20,153518828,Japan,JP,11,18820287,3664,222879561077,2weeks,Sean-PC's owner,,
vpn206166559,222.1.91.204,613161,11,81213518,Japan,JP,5,18820287,341732,15299015260837,2weeks,kawasaki's owner,,
vpn136561689,126.103.162.117,606079,5,85168113,Japan,JP,7,9511287,627,75634757550,2weeks,DESKTOP-3KRHDK5's owner,,
vpn368771770,36.2.12.49,601276,2,90669640,Japan,JP,16,1000,110840,6554681694273,2weeks,DESKTOP-1UM840R's owner,,
vpn691798171,116.86.95.57,595438,2,43279598,Singapore,SG,18,1000,12536,996797341652,2weeks,DESKTOP-1PCKHFS's owner,,
vpn488242762,106.157.137.84,593826,5,31137053,Japan,JP,1,1000,11811,1157724179641,2weeks,hiro-PC's owner,,
vpn448470334,128.53.186.183,592713,10,208922707,Japan,JP,3,1000,36039,4254492255586,2weeks,DESKTOP-IR5H0E4's owner,,
vpn177170730,61.210.3.129,588141,17,58516566,Japan,JP,1,1000,7175,621448273674,2weeks,MyComputer's owner,,
vpn679300524,117.18.155.173,584572,13,90607993,Japan,JP,0,1000,1823,47260771896,2weeks,mappro2020gmail's owner,,
vpn568905815,71.59.216.40,577938,23,32257159,United States,US,1,9511287,302,19696121106,2weeks,DESKTOP-R87HG3C's owner,,
tlt,178.163.94.49,574342,30,2591285,Russian Federation,RU,132,268393287,138634,10827515209420,2weeks,DyingRus63's owner,Кто хочет свой сервер со статическим ip пишите мне вконтакте http://vk.com/id345375462 или на E-mail ;) TCP UDP порты за донат,
vpn699131030,118.240.245.140,568928,2,376713161,Japan,JP,3,1000,188526,24797823931184,2weeks,Zaiyuu-PC's owner,,
vpn774874724,160.86.19.55,567289,9,291315193,Japan,JP,5,1000,188,19222401683,2weeks,たくとのPC's owner,,
vpn713280421,27.75.32.181,560287,19,25451854,Viet Nam,VN,0,18820287,350,16380971926,2weeks,DESKTOP-NM4C0KG's owner,,
vpn408606379,121.149.83.83,560086,36,26812764,Korea Republic of,KR,6,71063287,4692,390502699755,2weeks,kim's owner,,
vpn530737532,61.82.166.104,534929,31,44339452,Korea Republic of,KR,0,9511287,3571,359051291520,2weeks,DESKTOP-2Q4L6GD's owner,,
vpn945062765,221.153.159.95,533688,31,32459769,Korea Republic of,KR,3,9511287,271,18104853160,2weeks,InFi's owner,,
vpn676684935,121.139.64.81,528431,30,36870193,Korea Republic of,KR,2,1000,17653,1916205866498,2weeks,GomDanZi-PC's owner,,
vpn430748592,219.250.118.61,527304,32,54561241,Korea Republic of,KR,4,9511287,3427,305272850775,2weeks,DESKTOP-LIU456U's owner,,
vpn810436271,183.100.204.107,526953,32,38322038,Korea Republic of,KR,3,9511287,2715,209416052692,2weeks,i7-4930's owner,,
vpn403717048,211.184.61.145,526511,31,38795014,Korea Republic of,KR,0,9511287,38857,4487896893905,2weeks,DESKTOP-7J4FEQN's owner,,
vpn623367969,171.98.19.217,526201,28,41084117,Thailand,TH,1,9511287,1624,112882773869,2weeks,DESKTOP-RROIL40's owner,,
vpn767539459,221.141.103.150,522331,38,77189248,Korea Republic of,KR,4,18820287,64252,14190658323840,2weeks,ssntpc's owner,,
vpn307721729,184.96.174.160,521363,10,21594599,United States,US,28,9511287,7662,259299843967,2weeks,dell-PC's owner,,
vpn263137813,180.69.136.157,520539,32,120344899,Korea Republic of,KR,5,1000,1427,233187278849,2weeks,DESKTOP-LKTN8CH's owner,,
vpn825283502,58.232.246.210,520248,38,57651305,Korea Republic of,KR,5,18820287,6733,497020209898,2weeks,Soapkari-PC's owner,,
vpn775150282,211.186.62.78,515966,32,142195753,Korea Republic of,KR,0,1000,583,62355783156,2weeks,DESKTOP-SV7SHKL's owner,,
vpn255884064,222.104.206.195,514243,33,33811473,Korea Republic of,KR,1,0,43285,4955529036597,2weeks,user-PC's owner,,
vpn172561110,114.109.51.96,507827,32,49549945,Thailand,TH,2,9511287,3090,271217748323,2weeks,0com-PC's owner,,
vpn765858685,58.227.134.221,496847,39,52639308,Korea Republic of,KR,3,1000,6591,717317349128,2weeks,user-PC's owner,,
vpn514537732,222.101.196.85,494961,36,28321433,Korea Republic of,KR,2,9511287,1400,85419231403,2weeks,POWERUS-F289BTH's owner,,
vpn196753407,160.13.210.59,491138,2,21442972,Japan,JP,2,1000,5544,262592630286,2weeks,God_Creator's owner,,
vpn940198266,110.135.11.168,480987,34,15155171,Japan,JP,3,110659287,10897,641376522174,2weeks,miura-HPNote's owner,,
vpn725233220,49.166.138.46,465503,66,46721644,Korea Republic of,KR,3,9511287,4105,500202243397,2weeks,DESKTOP-SIC9SBK's owner,,
vpn620889082,183.100.204.130,463369,60,12145316,Korea Republic of,KR,6,163773287,554,90209053180,2weeks,DESKTOP-1DG25DM's owner,,
vpn613026960,112.154.108.200,459522,73,41355706,Korea Republic of,KR,12,9511287,2762,155110202630,2weeks,MSDN-SPECIAL's owner,,
vpn152828815,185.204.165.20,420730,6,10960405,Bulgaria,BG,35,27959287,3665,279969683755,2weeks,Admin-PC's owner,,
vpn115118474,218.157.68.40,419614,36,22833219,Korea Republic of,KR,2,1000,236,13692399775,2weeks,DESKTOP-EPN2A9T's owner,,
vpn481863504,221.149.245.49,418987,30,19773583,Korea Republic of,KR,3,9511287,4853,599699767833,2weeks,DESKTOP-VM8KVDV's owner,,
vpn909955635,2.133.167.209,417999,87,10112452,Kazakhstan,KZ,5,183737287,65447,3476600412882,2weeks,IGOR_PC's owner,,
vpn405168544,77.82.111.95,413794,103,26433886,Russian Federation,RU,2,18820287,5854,413256914729,2weeks,DESKTOP-EVVI621's owner,,
vpn594990685,121.182.55.66,413122,34,19863161,Korea Republic of,KR,2,18820287,1763,130301523362,2weeks,DESKTOP-UFMV6TM's owner,,
vpn656855603,220.76.20.142,406392,35,22160672,Korea Republic of,KR,2,1000,43,2939200893,2weeks,sub-home-PC's owner,,
vpn202038957,59.20.188.97,398115,35,21435894,Korea Republic of,KR,2,1000,719,54361276564,2weeks,DESKTOP-L7D8BAL's owner,,
